FlashLight - out
Branch,Tags,APK Version,TT Bugs,Change Link,Message,Commit Id
AMAX_4.3 [AMAX-android_4.3_r2.1-master],
AMAX_4.4 [AMAX_1.0-android_4.4],044000284_201406191033,v1.0.0.140616,,http://amax01:8080/135963,v1.0.0.140616  modify versionName,c19e85a,
A400CG_KK [CLVP_KK4.4_WW52_AMAX1.0_A400CG],044000269_201405290028,v2.1.6.140523,,http://amax01:8080/134067,v2.1.6.140523 disable FlashLight in Pad Mode.add multi-language.fixed conflict with 3rd_App,c6a8e2b,
PF400CG_KK [CLVP_KK4.4_WW52_AMAX1.0_PF400CG],044000269_201405290028,v2.1.6.140523,,http://amax01:8080/134067,v2.1.6.140523 disable FlashLight in Pad Mode.add multi-language.fixed conflict with 3rd_App,c6a8e2b,
ME175CG_KK [CLVP_KK4.4_WW52_AMAX1.0_ME175CG],044000264_201405212359,,,http://amax01:8080/133119, add source code . fast sync code,03d2f4d,
ME372CL_KK [CLVP_KK4.4_WW52_AMAX1.0_ME372CL],044000278_201406110031,v2.1.0.140605,,http://amax01:8080/135102,v2.1.0.140605 register CAMERA_STOP_FLASHLIGHT receiver in code,7b20b69,
TX201LAF_KK [CLVP_KK4.4_WW52_AMAX1.0_TX201LAF],044000269_201405290028,v2.1.6.140523,,http://amax01:8080/134067,v2.1.6.140523 disable FlashLight in Pad Mode.add multi-language.fixed conflict with 3rd_App,c6a8e2b,
A91_LE_KK [KK-mr0-A91-11.10.0.27-LE],
A500KL_80MR [KK-mr1-A500KL-11.4.0.80-MR],A500KL_11.4.6.17,v1.0.0.140616,,http://mcrd1-22-pc.corpnet.asus/code-review/master/131901,v1.0.0.140616 modify versionName,f22fe8e,
TF103C [dev/tf103c/asus/4.4.2],
TF303CL_KK [kk-mr0-byt-r1],
FE170CG/ME170C/ME70C/ME70CX [kk-mr0-ctp-r3],
TF303KL_KK [kk-mr1-8064-r1],044000266_201405260029,,,http://amax01:8080/133563, add Android.mk to build into special target project,a7442ff,
FE375CG_CXG [kk-mr1-moorefield_ds-r1],
FE375CG_CTA [kk-mr1-moorefield_ds-dev.11.10.0.49.1_CTA],
ME581CL_KK [kk-mr1-moorefield_64-dev],
ME581CL_KK_R2 [kk-mr1-moorefield_64-r2],
